Symbol,Trade Type,Entry DateTime,Exit DateTime,Entry Price,Exit Price,Trade Quantity,Max Open Quantity,Max Closed Quantity,Profit/Loss (C),Cumulative Profit/Loss (C),Duration,High Price While Open,Low Price While Open,Exit Efficiency,Entry Efficiency,FlatToFlat Profit/Loss (C),FlatToFlat Max Open Profit (C),FlatToFlat Max Open Loss (C),Max Open Profit (C),Max Open Loss (C),Note,Total Efficiency,Commission (C),Open Position Quantity,Close Position Quantity
[Sim]F.US.GCEQ21 (Sim103),Short,2016-01-03  18:15:17.003 BP,22:02.0,1063.1,1062.1,1,2,1,95.8,95.8,0:06:44,1063.3,1062,89.10%,100.00%,95.8,110,-20,110,-20,IPS2+TM(all),73.70%,4.2,2,1
[Sim]F.US.GCEQ21,Short,15:17.0,2016-01-03  19:59:41.001 EP,1063.1,1064,1,2,2,-94.2,1.6,1:44:23,1064,1061,3.70%,100.00%,1.60 F,320,-110,210,-90,IPS2+TM(all),-21.90%,4.2,2,0
[Sim]F.US.GCEQ21,Long,2016-01-03  19:59:41.006 BP,2016-01-03  20:18:34.001 EP,1064,1062,2,2,2,-408.4,-406.8,0:18:52,1064.7,1062,-1.60%,100.00%,-408.40 F,140.01,-400,140.01,-400,IPS2+TM(all),-75.60%,8.4,2,0
[Sim]F.US.GCEQ21,Short,2016-01-03  20:18:34.009 BP,2016-01-03  23:48:25.004 EP,1062,1063.9,2,2,2,-388.4,-795.2,3:29:50,1064,1061.5,2.30%,100.00%,-388.40 F,100,-400,100,-400,IPS2+TM(all),-77.70%,8.4,2,0
[Sim]F.US.GCEQ21,Long,2016-01-03  23:48:25.012 BP,11:54.0,1063.9,1064.9,1,2,1,95.8,-699.4,0:23:29,1065,1063.7,89.10%,100.00%,95.8,110,-19.99,110,-19.99,IPS2+TM(all),73.70%,4.2,2,1
[Sim]F.US.GCEQ21,Long,48:25.0,2016-01-04  06:48:51.049 EP,1063.9,1071.6,1,2,2,765.8,66.4,7:00:26,1074.2,1063.7,68.30%,100.00%,861.60 F,1140,-39.99,1030.01,-19.99,IPS2+TM(all),64.90%,4.2,2,0
[Sim]F.US.GCEQ21,Short,2016-01-04  10:18:11.003 BP,21:01.0,1080.5,1079.5,1,2,1,95.8,162.2,0:02:50,1080.7,1079.4,89.10%,100.00%,95.8,110,-20.01,110,-20.01,IPS2+TM(all),73.70%,4.2,2,1
[Sim]F.US.GCEQ21,Short,18:11.0,2016-01-04  12:06:04.001 EP,1080.5,1073.8,1,2,2,665.8,828,1:47:52,1080.7,1070.7,62.50%,100.00%,761.60 F,1089.99,-40.01,979.99,-20.01,IPS2+TM(all),58.90%,4.2,2,0
[Sim]F.US.GCEQ21,Long,2016-01-04  12:06:04.006 BP,11:31.0,1073.8,1074.8,1,2,1,95.8,923.8,0:05:27,1074.8,1073.7,96.20%,100.00%,95.8,100,-9.99,100,-9.99,IPS2+TM(all),87.10%,4.2,2,1
[Sim]F.US.GCEQ21,Long,06:04.0,2016-01-04  15:40:15.001 EP,1073.8,1073.6,1,2,2,-24.2,899.6,3:34:10,1076.7,1073.6,1.40%,100.00%,71.60 F,390.01,-30,290.01,-20,IPS2+TM(all),-5.80%,4.2,2,0
[Sim]F.US.GCEQ21,Long,2016-01-04  22:27:50.003 BP,37:59.1,1076.3,1077.3,1,2,1,95.8,995.4,1:10:09,1077.4,1075.8,91.10%,100.00%,95.8,110,-50,110,-50,IPS2+TM(all),59.90%,4.2,2,1
